epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
106,4043.75,0.52193,1.11686,0.52678,0.87343,0,0.52742,0.42893,0.57525,0.34407,0.51534,0.4099,0.46402,0.21812,1.26862,3.6906,2.71883,1.51332,0,0.000307,0.000307,0.000307
107,4080.97,0.51828,1.10078,0.50529,0.90221,0,0.52742,0.42893,0.57525,0.34407,0.51534,0.4099,0.46402,0.21812,1.26862,3.6906,2.71883,1.51332,0,0.0003004,0.0003004,0.0003004
108,4116.89,0.54676,1.07583,0.53484,0.91028,0,0.52742,0.42893,0.57525,0.34407,0.51534,0.4099,0.46402,0.21812,1.26862,3.6906,2.71883,1.51332,0,0.0002938,0.0002938,0.0002938
109,4159.37,0.4642,0.95503,0.46301,0.87708,0,0.52742,0.42893,0.57525,0.34407,0.51534,0.4099,0.46402,0.21812,1.26862,3.6906,2.71883,1.51332,0,0.0002872,0.0002872,0.0002872
110,4200.06,0.50315,1.00888,0.52398,0.87625,0,0.69795,0.4067,0.54361,0.33312,0.68415,0.39881,0.4875,0.21886,1.24634,3.55618,2.60416,1.53866,0,0.0002806,0.0002806,0.0002806
111,4235.69,0.45792,0.95983,0.44576,0.86317,0,0.69795,0.4067,0.54361,0.33312,0.68415,0.39881,0.4875,0.21886,1.24634,3.55618,2.60416,1.53866,0,0.000274,0.000274,0.000274
112,4271.34,0.4971,0.98315,0.48396,0.86975,0,0.69795,0.4067,0.54361,0.33312,0.68415,0.39881,0.4875,0.21886,1.24634,3.55618,2.60416,1.53866,0,0.0002674,0.0002674,0.0002674
113,4307.05,0.4946,1.06216,0.49351,0.88643,0,0.69795,0.4067,0.54361,0.33312,0.68415,0.39881,0.4875,0.21886,1.24634,3.55618,2.60416,1.53866,0,0.0002608,0.0002608,0.0002608
114,4342.17,0.55065,1.12658,0.56558,0.87915,0,0.64041,0.46824,0.54761,0.33885,0.62629,0.43991,0.48993,0.21936,1.28701,3.63971,2.65337,1.59316,0,0.0002542,0.0002542,0.0002542
115,4380.63,0.49773,1.01742,0.51084,0.87271,0,0.64041,0.46824,0.54761,0.33885,0.62629,0.43991,0.48993,0.21936,1.28701,3.63971,2.65337,1.59316,0,0.0002476,0.0002476,0.0002476
116,4416.24,0.47592,0.91765,0.46099,0.86732,0,0.64041,0.46824,0.54761,0.33885,0.62629,0.43991,0.48993,0.21936,1.28701,3.63971,2.65337,1.59316,0,0.000241,0.000241,0.000241
117,4449.79,0.52146,1.1037,0.54927,0.87517,0,0.64041,0.46824,0.54761,0.33885,0.62629,0.43991,0.48993,0.21936,1.28701,3.63971,2.65337,1.59316,0,0.0002344,0.0002344,0.0002344
118,4484.7,0.48786,0.93906,0.48395,0.8649,0,0.4382,0.46429,0.54308,0.32462,0.63983,0.4412,0.477,0.20595,1.28084,3.76471,2.68068,1.56781,0,0.0002278,0.0002278,0.0002278
